X_12,Y_12,C_12,X_13,Y_13,C_13,X_14,Y_14,C_14
1107.15,394.934,0.148759,1525.1,527.37,0.312155,1595.78,647.997,0.071062
1121.88,389.055,0.129878,1539.85,530.275,0.467045,1731.19,936.456,0.18187
1110.11,397.86,0.141862,1530.97,536.145,0.279092,1637.07,962.93,0.218407
1113.02,391.957,0.156996,1542.69,545.002,0.46221,1542.8,968.822,0.24279
1113.05,389.046,0.166545,1539.78,547.852,0.376983,1495.59,951.154,0.135865
1113.06,391.987,0.162615,1539.89,550.81,0.591174,1454.52,954.13,0.280498
1113.03,389.045,0.167989,1539.75,550.835,0.632961,1425.09,957.068,0.37003
1101.29,391.925,0.160651,1536.89,547.947,0.538066,1445.59,859.904,0.138043
1116,397.839,0.151204,1536.88,544.972,0.580364,1439.73,856.978,0.147287
1115.96,389.069,0.193668,1539.77,542.095,0.639381,1430.95,842.291,0.171579
1115.99,391.948,0.193847,1539.76,544.977,0.625339,1442.64,839.355,0.172594
1115.99,394.933,0.189697,1539.75,545.02,0.636914,1419.17,936.449,0.329847
